		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	LABELS	Yields Ghana	Conso Ghana	SV Ghana	Yields Mali	Conso Mali	SV Mali	Yields Nigeria	Conso Nigeria	SV Nigeria
										
adopt	Adoption dummy	379.921***	154.917	0.934	36.417	3.920	0.156	376.238***	326.944***	0.047***
		(147.299)	(386.300)	(0.999)	(67.499)	(276.291)	(0.720)	(25.809)	(77.817)	(0.011)
		[0.010]	[0.688]	[0.350]	[0.590]	[0.989]	[0.829]	[0.000]	[0.000]	[0.000]
age	Age of household head (years)	10.835	11.925	0.009	2.087	-27.131	0.305**	-3.271	37.415*	-0.004
		(17.731)	(37.728)	(0.098)	(15.271)	(46.140)	(0.120)	(8.938)	(20.347)	(0.003)
		[0.541]	[0.752]	[0.926]	[0.891]	[0.557]	[0.011]	[0.714]	[0.066]	[0.210]
sexe	Sex of household head (dummy, male=1)	-61.230**			40.096			20.564		
		(29.154)			(27.632)			(48.953)		
		[0.036]			[0.147]			[0.674]		
nbschool	Education level (Number of years)	0.036			-2.163			3.166*		
		(2.877)			(2.391)			(1.747)		
		[0.990]			[0.366]			[0.070]		
hhsize	Household size (number of persons)	0.585	-3.491	0.024	1.976*	-0.273	0.006	0.016	-23.908***	0.003***
		(4.547)	(8.785)	(0.023)	(1.032)	(3.145)	(0.008)	(2.300)	(5.228)	(0.001)
		[0.898]	[0.691]	[0.284]	[0.056]	[0.931]	[0.460]	[0.995]	[0.000]	[0.000]
cooperative	Farmers group membership (dummy)	6.302	-14.137	0.539***	-3.090	-35.600	0.010	-1.294	78.951**	0.008*
		(17.974)	(35.238)	(0.091)	(10.207)	(30.863)	(0.080)	(14.137)	(32.153)	(0.004)
		[0.726]	[0.688]	[0.000]	[0.762]	[0.249]	[0.905]	[0.927]	[0.014]	[0.060]
formagri	Training on agriculture (dummy)	41.600	-37.802	0.115	29.363	71.667	-0.558***	25.704	6.443	-0.005
		(47.250)	(91.163)	(0.236)	(19.662)	(59.561)	(0.155)	(32.492)	(73.830)	(0.010)
		[0.379]	[0.678]	[0.627]	[0.135]	[0.229]	[0.000]	[0.429]	[0.930]	[0.599]
formarrach	Training on groundnut farming (dummy)	6.240	-24.021	-0.064	1.657	13.627	-0.374***	-2.704	104.530***	0.003
		(15.577)	(29.981)	(0.078)	(10.355)	(31.243)	(0.081)	(11.289)	(25.648)	(0.004)
		[0.689]	[0.423]	[0.411]	[0.873]	[0.663]	[0.000]	[0.811]	[0.000]	[0.472]
visitpublic	Public agricultural extension service (number of visits)	0.476	-52.543***	-0.007	0.818	7.267	-0.009	-0.223	83.734***	0.001
		(7.916)	(15.281)	(0.040)	(6.670)	(20.873)	(0.054)	(6.118)	(13.874)	(0.002)
		[0.952]	[0.001]	[0.863]	[0.902]	[0.728]	[0.867]	[0.971]	[0.000]	[0.458]
extension	Private agricultural extension service (number of visits)	-4.263	-34.192	0.044	10.796	33.269	0.053	-0.868	-36.540	0.002
		(10.725)	(21.666)	(0.056)	(7.477)	(23.968)	(0.062)	(11.114)	(25.397)	(0.003)
		[0.691]	[0.115]	[0.433]	[0.149]	[0.165]	[0.395]	[0.938]	[0.150]	[0.519]
credite	Cash credit for groundnut farming (dummy)	119.032	190.479	-0.183	49.252	213.972	-0.646*	-96.654	-70.031	0.034*
		(92.150)	(179.190)	(0.463)	(43.001)	(133.006)	(0.347)	(59.790)	(136.902)	(0.019)
		[0.196]	[0.288]	[0.693]	[0.252]	[0.108]	[0.063]	[0.106]	[0.609]	[0.074]
creditn	Credit in kind for groundnut farming (dummy)	-57.439	51.755	-1.611***	48.422	109.702	0.249	-30.079	-58.335	0.074***
		(64.879)	(126.936)	(0.328)	(40.497)	(122.310)	(0.319)	(37.306)	(84.634)	(0.012)
		[0.376]	[0.683]	[0.000]	[0.232]	[0.370]	[0.435]	[0.420]	[0.491]	[0.000]
dmurbain	Distance to the nearest urban market (km)	2.750	4.297	0.113***	-0.081	3.583	-0.023***	-0.041	0.658	-0.000**
		(2.519)	(7.631)	(0.020)	(0.539)	(2.727)	(0.007)	(0.549)	(1.340)	(0.000)
		[0.275]	[0.573]	[0.000]	[0.880]	[0.189]	[0.001]	[0.940]	[0.624]	[0.031]
dmvillage	Distance the nearest village market (km)	-0.371	6.343	-0.013	-2.758***	-2.965	-0.018*	0.564	-6.280	0.003**
		(3.150)	(8.867)	(0.023)	(0.884)	(3.944)	(0.010)	(2.840)	(9.324)	(0.001)
		[0.906]	[0.474]	[0.575]	[0.002]	[0.452]	[0.084]	[0.843]	[0.501]	[0.040]
crotation	Crop rotation (dummy)	52.243	189.254**	-0.259	-19.076	-102.821	0.593***	-8.740	101.439	-0.009
		(38.965)	(79.682)	(0.206)	(24.486)	(75.257)	(0.196)	(26.837)	(61.802)	(0.008)
		[0.180]	[0.018]	[0.209]	[0.436]	[0.172]	[0.003]	[0.745]	[0.101]	[0.314]
cmixt	Mixed Crops (dummy)	3.469	185.109***	-1.173***	-13.518	70.688	-0.086	6.356	124.526**	0.032***
		(35.432)	(68.250)	(0.177)	(18.699)	(56.364)	(0.147)	(23.262)	(52.898)	(0.007)
		[0.922]	[0.007]	[0.000]	[0.470]	[0.210]	[0.559]	[0.785]	[0.019]	[0.000]
nbrhoejour	Labor force (man.day)	0.420	-17.061**	0.083***	-0.815	-10.076*	0.048***	-1.814	-1.984	0.002***
		(3.724)	(7.625)	(0.020)	(1.708)	(5.201)	(0.014)	(1.575)	(3.584)	(0.000)
		[0.910]	[0.025]	[0.000]	[0.634]	[0.053]	[0.000]	[0.249]	[0.580]	[0.000]
uprice	Unit selling price (USD/kg)	-237.000	-721.133*	0.285	123.920	-92.826	-1.312	120.147	-218.466	0.021
		(180.874)	(413.285)	(1.069)	(142.336)	(521.062)	(1.358)	(95.949)	(246.713)	(0.034)
		[0.190]	[0.081]	[0.790]	[0.384]	[0.859]	[0.334]	[0.210]	[0.376]	[0.545]
cseed_ha	Seed cost (USD/ha)	-0.637	-3.085	0.025***	0.213	0.171	0.001	-0.379	-6.068***	0.001***
		(0.987)	(2.125)	(0.005)	(0.409)	(1.243)	(0.003)	(0.755)	(1.715)	(0.000)
		[0.519]	[0.146]	[0.000]	[0.603]	[0.891]	[0.712]	[0.616]	[0.000]	[0.001]
cfert_ha	Fertilizer cost (USD/ha)	-4.598	-4.762	0.000	-0.272	-7.616***	0.016***	-0.055	-3.677***	0.000
		(3.842)	(9.522)	(0.025)	(0.678)	(2.340)	(0.006)	(0.323)	(0.738)	(0.000)
		[0.231]	[0.617]	[0.990]	[0.689]	[0.001]	[0.008]	[0.866]	[0.000]	[0.344]
cpest_ha	Pesticide cost (USD/ha)	-1.032	0.639	-0.034**	1.097	2.932	0.007	0.130	-1.656	-0.000
		(2.706)	(5.248)	(0.014)	(1.133)	(3.549)	(0.009)	(0.928)	(2.134)	(0.000)
		[0.703]	[0.903]	[0.012]	[0.333]	[0.409]	[0.447]	[0.889]	[0.438]	[0.622]
clabor_ha	Labor cost (USD/ha)	-0.465	-1.213	0.002	-0.249	0.686	0.002	-0.005	-0.942	0.000
		(0.396)	(0.778)	(0.002)	(0.275)	(0.834)	(0.002)	(0.282)	(0.648)	(0.000)
		[0.240]	[0.119]	[0.326]	[0.367]	[0.411]	[0.434]	[0.985]	[0.146]	[0.104]
gsize	Groundnut area (ha)	3.858	374.767***	-0.092	10.579*	338.827***	0.283***	-3.431	380.566***	-0.004
		(14.086)	(27.147)	(0.070)	(5.695)	(17.181)	(0.045)	(9.833)	(22.397)	(0.003)
		[0.784]	[0.000]	[0.192]	[0.063]	[0.000]	[0.000]	[0.727]	[0.000]	[0.242]
off_farm	Off-farm income (dummy)	59.648	9.799	-0.977**	5.396	-95.190	-0.559	-51.022*	-126.930**	-0.001
		(94.453)	(181.819)	(0.470)	(67.896)	(204.691)	(0.534)	(27.937)	(63.674)	(0.009)
		[0.528]	[0.957]	[0.038]	[0.937]	[0.642]	[0.294]	[0.068]	[0.046]	[0.951]
dratio	Dependency ratio	-2.013	39.761	-0.071	-4.460	13.217	-0.139**	-2.709	-16.735	0.008***
