		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	MP	QS	SV	MP_Access	QS_Access	SV_Access
							
adopt	Adoption dummy (centered) (centered) (centered) (centered) (centered) (centered)	0.043***	0.315***	0.291***	0.043***	0.315***	0.291***
		(0.013)	(0.087)	(0.080)	(0.013)	(0.087)	(0.080)
		[0.001]	[0.000]	[0.000]	[0.001]	[0.000]	[0.000]
age	Age of household head (years) (centered) (centered) (centered) (cente (centered)	0.001	-0.018	-0.019	0.001	-0.018	-0.019
		(0.003)	(0.024)	(0.022)	(0.003)	(0.024)	(0.022)
		[0.864]	[0.450]	[0.383]	[0.864]	[0.450]	[0.383]
hhsize	Household size (number of persons) (centered) (centered) (centered) ( (centered)	0.002**	0.027***	0.026***	0.002**	0.027***	0.026***
		(0.001)	(0.007)	(0.006)	(0.001)	(0.007)	(0.006)
		[0.036]	[0.000]	[0.000]	[0.036]	[0.000]	[0.000]
cooperative	Farmers group membership (dummy)  (centered) (centered) (centered) (c (centered)	0.023***	0.132***	0.118***	0.023***	0.132***	0.118***
		(0.006)	(0.044)	(0.041)	(0.006)	(0.044)	(0.041)
		[0.000]	[0.003]	[0.004]	[0.000]	[0.003]	[0.004]
formagri	Training on agriculture (dummy) (centered) (centered) (centered) (cen (centered)	-0.042***	-0.300***	-0.274***	-0.042***	-0.300***	-0.274***
		(0.015)	(0.105)	(0.096)	(0.015)	(0.105)	(0.096)
		[0.006]	[0.004]	[0.004]	[0.006]	[0.004]	[0.004]
formarrach	Training on groundnut farming (dummy) (centered) (centered) (centered (centered)	-0.025***	-0.179***	-0.166***	-0.025***	-0.179***	-0.166***
		(0.005)	(0.031)	(0.028)	(0.005)	(0.031)	(0.028)
		[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
visitpublic	Public agricultural extension service (number of visits) (centered) ( (centered)	0.003	-0.018	-0.019	0.003	-0.018	-0.019
		(0.003)	(0.019)	(0.018)	(0.003)	(0.019)	(0.018)
		[0.293]	[0.352]	[0.282]	[0.293]	[0.352]	[0.282]
