		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	FE_MP	RE_MP	FE_QS	RE_QS	FE_SV	RE_SV
							
adopt	Adoption dummy	0.064***	0.053***	0.594***	0.544***	0.570***	0.526***
		(0.020)	(0.018)	(0.134)	(0.120)	(0.124)	(0.110)
		[0.001]	[0.002]	[0.000]	[0.000]	[0.000]	[0.000]
age	Age of household head (years)	0.002	-0.001*	-0.011	-0.006**	-0.013	-0.005**
		(0.003)	(0.000)	(0.024)	(0.003)	(0.022)	(0.003)
		[0.545]	[0.066]	[0.649]	[0.043]	[0.554]	[0.040]
sexe	Sex of household head (dummy, male=1)		-0.011		0.115		0.121
			(0.020)		(0.137)		(0.126)
			[0.572]		[0.401]		[0.335]
nbschool	Education level (Number of years)		0.001		-0.005		-0.006
			(0.001)		(0.009)		(0.008)
			[0.676]		[0.563]		[0.487]
hhsize	Household size (number of persons)	0.002***	0.001*	0.027***	0.020***	0.026***	0.019***
		(0.001)	(0.001)	(0.005)	(0.004)	(0.004)	(0.004)
		[0.004]	[0.082]	[0.000]	[0.000]	[0.000]	[0.000]
cooperative	Farmers group membership (dummy)	0.022***	0.023***	0.124***	0.132***	0.111***	0.119***
		(0.005)	(0.004)	(0.035)	(0.028)	(0.032)	(0.026)
		[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
formagri	Training on agriculture (dummy)	-0.043***	-0.052***	-0.314***	-0.318***	-0.287***	-0.285***
		(0.011)	(0.009)	(0.078)	(0.065)	(0.072)	(0.059)
		[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
formarrach	Training on groundnut farming (dummy)	-0.025***	-0.023***	-0.176***	-0.166***	-0.162***	-0.153***
		(0.003)	(0.003)	(0.023)	(0.021)	(0.021)	(0.019)
		[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
visitpublic	Public agricultural extension service (number of visits)	0.002	0.002	-0.024	-0.020	-0.025	-0.021
		(0.002)	(0.002)	(0.016)	(0.014)	(0.015)	(0.013)
		[0.354]	[0.355]	[0.149]	[0.162]	[0.104]	[0.106]
extension	Private agricultural extension service (number of visits)	0.003	0.004	0.045*	0.026	0.042*	0.021
		(0.003)	(0.003)	(0.024)	(0.020)	(0.022)	(0.019)
		[0.318]	[0.153]	[0.059]	[0.199]	[0.055]	[0.266]
credite	Cash credit for groundnut farming (dummy)	-0.010	0.000	-0.186	-0.076	-0.193	-0.083
		(0.023)	(0.020)	(0.156)	(0.136)	(0.144)	(0.125)
