adopt,qsale,gprod
Adopter,100,759.67742919921875
Adopter,100,292.2125244140625
Adopter,722,1065.61572265625
Adopter,0,262.6151123046875
Adopter,0,349.5675048828125
Adopter,47,332.8519592285156
Non-adopter,74,388.3426208496094
Non-adopter,74,466.2972106933594
Non-adopter,0,237.07945251464844
Adopter,200,593.89129638671875
Adopter,200,321.88800048828125
Adopter,284,112.1942138671875
Non-adopter,80,804.20587158203125
Non-adopter,80,81.355438232421875
Non-adopter,377,679.23565673828125
Non-adopter,22,802.51068115234375
Non-adopter,22,1161.66650390625
Non-adopter,330,622.250732421875
Adopter,100,1072.5858154296875
Adopter,100,461.6481018066406
Adopter,329,442.1192932128906
Adopter,160,2035.375
Adopter,160,1791.996337890625
Adopter,659,1684.6597900390625
Non-adopter,60,1516.7615966796875
Non-adopter,60,1971.6839599609375
Non-adopter,473,402.24652099609375
Adopter,700,1921.53662109375
Adopter,759,828.921142578125
Adopter,2565,3643.17333984375
Adopter,470,123.02424621582031
Adopter,400,457.5087890625
Adopter,400,299.52581787109375
Adopter,1081,1905.04443359375
Adopter,60,1109.8475341796875
Adopter,60,143.3511505126953
Adopter,846,1435.0164794921875
Non-adopter,330,253.44224548339844
Adopter,0,120.99371337890625
Adopter,0,283.5354919433594
Adopter,380,322.0086669921875
Adopter,720,1616.5863037109375
Adopter,720,976.8369140625
Adopter,282,1119.47998046875
Adopter,0,108.55501556396484
Adopter,0,322.1567687988281
Adopter,446,765.99127197265625
Adopter,0,94.53191375732422
Adopter,0,266.8988342285156
Adopter,141,104.14156341552734
Non-adopter,120,811.30682373046875
Non-adopter,120,223.77281188964844
Non-adopter,286,65.08293914794922
Adopter,360,581.993896484375
Adopter,360,302.3923034667969
Adopter,190,446.2934265136719
Non-adopter,160,37.741329193115234
Non-adopter,160,148.46408081054688
Non-adopter,329,282.7038269042969
Adopter,0,87.82958221435547
Adopter,0,121.07929992675781
Adopter,428,300.989013671875
Adopter,1760,2993.755859375
Adopter,1760,1741.84912109375
Adopter,235,37.51536178588867
Adopter,600,1588.54931640625
Adopter,600,2194.201904296875
Adopter,372,221.94627380371094
Adopter,120,370.1498718261719
Adopter,120,347.23931884765625
Adopter,438,924.7725830078125
Non-adopter,440,640.92156982421875
Non-adopter,440,347.3050537109375
Non-adopter,953,672.78448486328125
Adopter,0,547.14691162109375
Adopter,0,484.63623046875
Adopter,1081,1447.7977294921875
Adopter,360,185.28207397460938
Adopter,360,179.19003295898438
Adopter,336,263.39752197265625
Adopter,240,448.35333251953125
Adopter,240,151.09173583984375
Adopter,385,367.7146911621094
Adopter,440,168.97669982910156
Adopter,440,235.3707275390625
Adopter,668,1188.4041748046875
Adopter,360,538.04833984375
Adopter,360,1574.7161865234375
Adopter,484,196.49505615234375
Non-adopter,120,42.80415344238281
Non-adopter,120,36.52460479736328
Non-adopter,376,222.3692626953125
Non-adopter,280,720.61572265625
Non-adopter,280,463.58251953125
Non-adopter,632,964.29168701171875
Adopter,0,313.0768737792969
Adopter,0,278.8736877441406
Adopter,940,2138.484619140625
Adopter,1420,2760.868408203125
Adopter,1420,1293.15283203125
Adopter,426,474.8409118652344
Adopter,120,325.7165832519531
Adopter,120,274.4378662109375
Adopter,1025,1678.96484375
Adopter,640,428.777587890625
Adopter,640,1122.9725341796875
Adopter,525,689.45263671875
Adopter,540,4896.48779296875
Adopter,540,3770.632568359375
Adopter,1645,762.79974365234375
Adopter,1160,1277.666015625
Adopter,710,1058.5203857421875
Adopter,300,524.319580078125
Adopter,300,1105.6439208984375
Adopter,665,565.2733154296875
Non-adopter,1175,373.8064270019531
Adopter,480,1125.3902587890625
Adopter,480,2788.622802734375
Adopter,2115,2570.262939453125
Adopter,1200,133.18577575683594
Adopter,1200,224.25332641601562
Adopter,658,1057.3812255859375
Adopter,3000,2160.79052734375
Adopter,630,1974.1549072265625
Adopter,0,107.91140747070312
Adopter,0,296.33184814453125
Adopter,470,766.79058837890625
Adopter,0,366.46063232421875
Adopter,0,51.93075180053711
Adopter,205,196.43873596191406
Adopter,0,374.1136474609375
Adopter,0,177.73736572265625
Adopter,188,312.5700378417969
Adopter,1080,1826.6563720703125
Adopter,1080,1443.6962890625
Adopter,141,582.68719482421875
Adopter,764,532.39398193359375
Adopter,840,66.98127746582031
Adopter,840,266.75201416015625
Adopter,716,1022.7384643554688
Non-adopter,0,3293.6572265625
Adopter,0,4928.14599609375
Adopter,200,784.90283203125
Adopter,0,477.6599426269531
Adopter,0,1149.4630126953125
Adopter,47,207.81483459472656
Non-adopter,0,1061.5390625
Non-adopter,0,629.48443603515625
Adopter,100,742.23443603515625
Adopter,0,1486.101318359375
Adopter,0,693.8189697265625
Adopter,47,819.343994140625
Non-adopter,0,800.032958984375
Adopter,150,245.92678833007812
Non-adopter,0,716.06787109375
Non-adopter,0,1981.1661376953125
Adopter,47,361.0545349121094
Non-adopter,0,3822.5400390625
Adopter,0,4406.86865234375
Adopter,235,505.3702392578125
Adopter,0,1045.1387939453125
Adopter,0,602.8912353515625
Adopter,200,1023.9066772460938
Non-adopter,0,192.211669921875
Adopter,0,317.70062255859375
Adopter,100,829.90771484375
Adopter,0,33.04351806640625
Adopter,0,229.92652893066406
Adopter,235,1121.6966552734375
Non-adopter,0,3485.4482421875
Adopter,0,2433.16552734375
Adopter,200,1382.3990478515625
Adopter,0,520.320556640625
Adopter,0,1368.4990234375
Adopter,47,384.5549621582031
Non-adopter,0,284.7880859375
Adopter,0,908.02069091796875
Adopter,47,76.2569580078125
Adopter,0,1292.0496826171875
Adopter,0,1145.1260986328125
Adopter,47,580.116943359375
Adopter,0,958.046630859375
Adopter,0,192.50477600097656
Adopter,240,1419.539306640625
Adopter,0,354.9857482910156
Adopter,0,831.36126708984375
Non-adopter,0,97.86497497558594
Non-adopter,0,484.9560852050781
Adopter,0,419.5814514160156
Adopter,50,174.00439453125
Adopter,0,867.229248046875
Adopter,0,137.58828735351562
Adopter,50,1260.5218505859375
Non-adopter,0,144.4835968017578
Non-adopter,0,168.15699768066406
Adopter,200,259.8094787597656
Non-adopter,0,186.34951782226562
Non-adopter,0,631.92205810546875
Adopter,142,251.2604217529297
Non-adopter,0,4288.25390625
Adopter,100,690.73284912109375
Adopter,0,2107.197998046875
Adopter,0,2944.996826171875
Adopter,94,453.41119384765625
Adopter,0,2726.58984375
Adopter,0,958.14263916015625
Adopter,54,197.48764038085938
Non-adopter,0,856.2762451171875
Adopter,0,701.78179931640625
Adopter,200,1434.734375
Non-adopter,0,432.5034484863281
Adopter,0,1021.39453125
Adopter,100,383.40509033203125
Non-adopter,0,1111.7265625
Adopter,0,1060.288330078125
Adopter,50,882.44134521484375
Non-adopter,0,2996.5380859375
Adopter,0,723.96435546875
Adopter,150,691.365966796875
Adopter,200,2951.633056640625
Adopter,200,1757.82177734375
Adopter,200,228.24227905273438
Adopter,0,3409.68994140625
Adopter,0,3655.6748046875
Adopter,100,1260.900634765625
Non-adopter,0,1058.105224609375
Non-adopter,0,254.30438232421875
Adopter,0,470.70831298828125
Adopter,0,1105.5736083984375
Adopter,0,1415.788818359375
Adopter,0,519.11993408203125
Adopter,0,3464.3427734375
Adopter,54,341.2291259765625
Non-adopter,0,353.70947265625
Adopter,0,1229.93212890625
Adopter,0,364.37847900390625
Adopter,100,771.6015625
Adopter,100,364.5908508300781
Non-adopter,200,416.16217041015625
Non-adopter,0,2047.85986328125
Adopter,0,188.49545288085938
Non-adopter,235,329.22698974609375
Non-adopter,0,435.9133605957031
Adopter,0,852.1611328125
Adopter,200,266.34954833984375
Adopter,200,598.34234619140625
Adopter,200,1094.754638671875
Adopter,140,302.9688720703125
Non-adopter,0,857.95220947265625
Adopter,0,977.77386474609375
Adopter,140,278.6210021972656
Adopter,0,38.0072135925293
Adopter,0,48.33277893066406
Non-adopter,0,214.8936004638672
Non-adopter,0,1057.4183349609375
Non-adopter,0,826.8795166015625
Adopter,100,328.2339782714844
Adopter,0,923.08270263671875
Adopter,0,371.77740478515625
Adopter,150,162.9982452392578
Adopter,0,439.3272399902344
Adopter,0,789.30438232421875
Adopter,180,202.87637329101562
Adopter,0,666.8018798828125
Adopter,0,740.617431640625
Adopter,54,1284.6365966796875
Non-adopter,0,111.5624008178711
Non-adopter,0,566.81683349609375
Non-adopter,240,1141.356689453125
Non-adopter,0,880.75494384765625
Non-adopter,0,660.31787109375
Adopter,30,111.3960189819336
Non-adopter,0,405.4308776855469
Non-adopter,0,333.9627990722656
Non-adopter,140,191.989990234375
Non-adopter,0,330.453369140625
Non-adopter,0,705.8603515625
Adopter,140,88.73243713378906
Adopter,400,2010.2628173828125
Adopter,400,369.7467956542969
Non-adopter,142,170.21678161621094
Adopter,0,965.8023681640625
Adopter,0,940.29486083984375
Non-adopter,140,279.189208984375
Non-adopter,0,2316.156982421875
Non-adopter,0,548.30926513671875
Adopter,140,69.27486419677734
Adopter,0,1499.2728271484375
Adopter,0,292.35601806640625
Non-adopter,140,473.2980041503906
Adopter,150,465.8205261230469
Non-adopter,0,668.203125
Non-adopter,0,1862.8558349609375
Adopter,240,138.32037353515625
Non-adopter,0,916.16680908203125
Adopter,0,2913.3896484375
Non-adopter,47,315.9576416015625
Adopter,0,1315.513671875
Adopter,0,300.88433837890625
Non-adopter,47,406.04315185546875
Non-adopter,0,1597.0296630859375
Non-adopter,0,2078.799560546875
Adopter,47,370.48681640625
Adopter,0,368.523681640625
Adopter,0,554.63616943359375
Adopter,54,92.6204833984375
Non-adopter,0,1541.4833984375
Adopter,0,2637.757568359375
Non-adopter,235,346.5511779785156
Non-adopter,0,1691.9383544921875
Adopter,0,2013.9898681640625
Non-adopter,145,91.02693176269531
Adopter,100,1169.822998046875
Adopter,100,925.0758056640625
Non-adopter,100,866.80731201171875
Adopter,0,453.36846923828125
Adopter,0,1401.304443359375
Adopter,141,549.86083984375
Non-adopter,0,396.23687744140625
Non-adopter,0,1628.644775390625
Non-adopter,50,87.14410400390625
Non-adopter,0,648.651123046875
Non-adopter,0,340.6075744628906
Adopter,140,424.55108642578125
Adopter,0,213.35873413085938
Adopter,0,1022.8654174804688
Adopter,240,229.88290405273438
Adopter,0,1294.3333740234375
Adopter,0,1341.079345703125
Adopter,240,533.71923828125
Non-adopter,0,231.841552734375
Non-adopter,0,1025.7322998046875
Non-adopter,0,274.2330017089844
Adopter,0,1041.921142578125
Adopter,0,1088.0086669921875
Non-adopter,47,465.6539611816406
Non-adopter,0,263.9278259277344
