		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	MP	QS	SV	MP_Access	QS_Access	SV_Access
							
adopt	Adoption dummy (centered) (centered) (centered) (centered) (centered) (centered)	0.108***	0.769***	0.718***	0.108***	0.769***	0.718***
		(0.026)	(0.162)	(0.149)	(0.026)	(0.162)	(0.149)
age	Age of household head (years) (centered) (centered) (centered) (cente (centered)	-0.002	-0.050	-0.049	-0.002	-0.050	-0.049
		(0.006)	(0.041)	(0.038)	(0.006)	(0.041)	(0.038)
o.sexe	Sex of household head (dummy, male=1) (centered) (centered) (centered (centered) = o,	-	-	-	-	-	-
							
o.nbschool	Education level (Number of years) (centered) (centered) (centered) (c (centered) = o,	-	-	-	-	-	-
							
hhsize	Household size (number of persons) (centered) (centered) (centered) ( (centered)	0.003*	0.027**	0.025**	0.003*	0.027**	0.025**
		(0.002)	(0.011)	(0.010)	(0.002)	(0.011)	(0.010)
cooperative	Farmers group membership (dummy)  (centered) (centered) (centered) (c (centered)	0.030**	0.207***	0.189***	0.030**	0.207***	0.189***
		(0.012)	(0.078)	(0.071)	(0.012)	(0.078)	(0.071)
formagri	Training on agriculture (dummy) (centered) (centered) (centered) (cen (centered)	-0.035	-0.212	-0.191	-0.035	-0.212	-0.191
		(0.027)	(0.171)	(0.157)	(0.027)	(0.171)	(0.157)
formarrach	Training on groundnut farming (dummy) (centered) (centered) (centered (centered)	-0.026***	-0.188***	-0.175***	-0.026***	-0.188***	-0.175***
		(0.008)	(0.050)	(0.045)	(0.008)	(0.050)	(0.045)
visitpublic	Public agricultural extension service (number of visits) (centered) ( (centered)	0.004	-0.019	-0.020	0.004	-0.019	-0.020
		(0.005)	(0.031)	(0.028)	(0.005)	(0.031)	(0.028)
extension	Private agricultural extension service (number of visits) (centered)  (centered)	-0.002	0.022	0.022	-0.002	0.022	0.022
		(0.007)	(0.046)	(0.042)	(0.007)	(0.046)	(0.042)
credite	Cash credit for groundnut farming (dummy) (centered) (centered) (cent (centered)	0.026	0.089	0.053	0.026	0.089	0.053
		(0.049)	(0.318)	(0.292)	(0.049)	(0.318)	(0.292)
